temperature	V(vee)	V(n001)
-1.000000000000000e+002	-5.000000e+000	-4.162409e+000
-9.500000000000000e+001	-5.000000e+000	-4.171573e+000
-9.000000000000000e+001	-5.000000e+000	-4.180771e+000
-8.500000000000000e+001	-5.000000e+000	-4.190005e+000
-8.000000000000000e+001	-5.000000e+000	-4.199272e+000
-7.500000000000000e+001	-5.000000e+000	-4.208571e+000
-7.000000000000000e+001	-5.000000e+000	-4.217902e+000
-6.500000000000000e+001	-5.000000e+000	-4.227264e+000
-6.000000000000000e+001	-5.000000e+000	-4.236657e+000
-5.500000000000000e+001	-5.000000e+000	-4.246079e+000
-5.000000000000000e+001	-5.000000e+000	-4.255529e+000
-4.500000000000000e+001	-5.000000e+000	-4.265008e+000
-4.000000000000000e+001	-5.000000e+000	-4.274515e+000
-3.500000000000000e+001	-5.000000e+000	-4.284048e+000
-3.000000000000000e+001	-5.000000e+000	-4.293607e+000
-2.500000000000000e+001	-5.000000e+000	-4.303193e+000
-2.000000000000000e+001	-5.000000e+000	-4.312803e+000
-1.500000000000000e+001	-5.000000e+000	-4.322438e+000
-1.000000000000000e+001	-5.000000e+000	-4.332098e+000
-5.000000000000000e+000	-5.000000e+000	-4.341781e+000
0.000000000000000e+000	-5.000000e+000	-4.351487e+000
5.000000000000000e+000	-5.000000e+000	-4.361216e+000
1.000000000000000e+001	-5.000000e+000	-4.370968e+000
1.500000000000000e+001	-5.000000e+000	-4.380741e+000
2.000000000000000e+001	-5.000000e+000	-4.390536e+000
2.500000000000000e+001	-5.000000e+000	-4.400353e+000
3.000000000000000e+001	-5.000000e+000	-4.410190e+000
3.500000000000000e+001	-5.000000e+000	-4.420048e+000
4.000000000000000e+001	-5.000000e+000	-4.429925e+000
4.500000000000000e+001	-5.000000e+000	-4.439823e+000
5.000000000000000e+001	-5.000000e+000	-4.449740e+000
5.500000000000000e+001	-5.000000e+000	-4.459676e+000
6.000000000000000e+001	-5.000000e+000	-4.469631e+000
6.500000000000000e+001	-5.000000e+000	-4.479605e+000
7.000000000000000e+001	-5.000000e+000	-4.489596e+000
7.500000000000000e+001	-5.000000e+000	-4.499606e+000
8.000000000000000e+001	-5.000000e+000	-4.509634e+000
8.500000000000000e+001	-5.000000e+000	-4.519679e+000
9.000000000000000e+001	-5.000000e+000	-4.529741e+000
9.500000000000000e+001	-5.000000e+000	-4.539820e+000
1.000000000000000e+002	-5.000000e+000	-4.549916e+000
