temperature	V(vee)	V(n001)
-1.000000000000000e+002	-5.000000e+000	-4.127775e+000
-9.500000000000000e+001	-5.000000e+000	-4.135939e+000
-9.000000000000000e+001	-5.000000e+000	-4.144139e+000
-8.500000000000000e+001	-5.000000e+000	-4.152373e+000
-8.000000000000000e+001	-5.000000e+000	-4.160642e+000
-7.500000000000000e+001	-5.000000e+000	-4.168942e+000
-7.000000000000000e+001	-5.000000e+000	-4.177276e+000
-6.500000000000000e+001	-5.000000e+000	-4.185639e+000
-6.000000000000000e+001	-5.000000e+000	-4.194034e+000
-5.500000000000000e+001	-5.000000e+000	-4.202457e+000
-5.000000000000000e+001	-5.000000e+000	-4.210910e+000
-4.500000000000000e+001	-5.000000e+000	-4.219390e+000
-4.000000000000000e+001	-5.000000e+000	-4.227899e+000
-3.500000000000000e+001	-5.000000e+000	-4.236434e+000
-3.000000000000000e+001	-5.000000e+000	-4.244995e+000
-2.500000000000000e+001	-5.000000e+000	-4.253582e+000
-2.000000000000000e+001	-5.000000e+000	-4.262195e+000
-1.500000000000000e+001	-5.000000e+000	-4.270832e+000
-1.000000000000000e+001	-5.000000e+000	-4.279494e+000
-5.000000000000000e+000	-5.000000e+000	-4.288179e+000
0.000000000000000e+000	-5.000000e+000	-4.296888e+000
5.000000000000000e+000	-5.000000e+000	-4.305620e+000
1.000000000000000e+001	-5.000000e+000	-4.314373e+000
1.500000000000000e+001	-5.000000e+000	-4.323150e+000
2.000000000000000e+001	-5.000000e+000	-4.331947e+000
2.500000000000000e+001	-5.000000e+000	-4.340766e+000
3.000000000000000e+001	-5.000000e+000	-4.349606e+000
3.500000000000000e+001	-5.000000e+000	-4.358467e+000
4.000000000000000e+001	-5.000000e+000	-4.367347e+000
4.500000000000000e+001	-5.000000e+000	-4.376247e+000
5.000000000000000e+001	-5.000000e+000	-4.385168e+000
5.500000000000000e+001	-5.000000e+000	-4.394107e+000
6.000000000000000e+001	-5.000000e+000	-4.403065e+000
6.500000000000000e+001	-5.000000e+000	-4.412042e+000
7.000000000000000e+001	-5.000000e+000	-4.421037e+000
7.500000000000000e+001	-5.000000e+000	-4.430049e+000
8.000000000000000e+001	-5.000000e+000	-4.439080e+000
8.500000000000000e+001	-5.000000e+000	-4.448129e+000
9.000000000000000e+001	-5.000000e+000	-4.457194e+000
9.500000000000000e+001	-5.000000e+000	-4.466277e+000
1.000000000000000e+002	-5.000000e+000	-4.475377e+000
